"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098552","CC","GO:0098552","side of membrane","19/137","472/13470",2.97351090737789e-07,2.97351090737789e-07,0.000819113477691017,"Gnai3/Cav2/Ngfr/Fer/Gna12/Th/Scnn1g/Glra1/Itgb2/Cdh1/Lck/Itga5/Gm2a/Btn1a1/Icosl/Il12rb1/Car4/Fasl/Il4",19
"GO:0050680","BP","GO:0050680","negative regulation of epithelial cell proliferation","10/137","124/13470",5.19117947836201e-07,5.19117947836201e-07,0.000819113477691017,"Apoh/Cav2/Ngfr/Cdh1/Pparg/Acvrl1/Wdr77/Sox9/Krit1/Serpinf1",10
"GO:0001937","BP","GO:0001937","negative regulation of endothelial cell proliferation","6/137","40/13470",2.86498552880207e-06,2.86498552880207e-06,0.00301376372468372,"Apoh/Cav2/Ngfr/Pparg/Acvrl1/Krit1",6
"GO:0040013","BP","GO:0040013","negative regulation of locomotion","13/137","280/13470",5.49322158296515e-06,5.49322158296515e-06,0.00433386271203408,"Apoh/Ngfr/Wnt3/Gna12/Cdh1/Pparg/Pdgfb/Acvrl1/Adora3/Krit1/Sema4f/Serpinf1/Il4",13
"GO:0001667","BP","GO:0001667","ameboidal-type cell migration","15/137","379/13470",7.11764405756543e-06,7.11764405756543e-06,0.00449235723885919,"Apoh/Fer/Gna12/Itgb2/Alox12/Fap/Pparg/Pdgfb/Acvrl1/Acvr1b/Sox9/Krit1/Sema4f/Serpinf1/Il4",15
"GO:0010633","BP","GO:0010633","negative regulation of epithelial cell migration","6/137","60/13470",3.16322987055118e-05,3.16322987055118e-05,0.0160523529441649,"Apoh/Pparg/Acvrl1/Krit1/Serpinf1/Il4",6
"GO:0030336","BP","GO:0030336","negative regulation of cell migration","11/137","242/13470",3.62724247294528e-05,3.62724247294528e-05,0.0160523529441649,"Apoh/Ngfr/Gna12/Cdh1/Pparg/Pdgfb/Acvrl1/Adora3/Krit1/Serpinf1/Il4",11
"GO:2000146","BP","GO:2000146","negative regulation of cell motility","11/137","251/13470",5.0582310771841e-05,5.0582310771841e-05,0.0160523529441649,"Apoh/Ngfr/Gna12/Cdh1/Pparg/Pdgfb/Acvrl1/Adora3/Krit1/Serpinf1/Il4",11
"GO:0051271","BP","GO:0051271","negative regulation of cellular component movement","11/137","258/13470",6.48456715897082e-05,6.48456715897082e-05,0.0160523529441649,"Apoh/Ngfr/Gna12/Cdh1/Pparg/Pdgfb/Acvrl1/Adora3/Krit1/Serpinf1/Il4",11
"GO:0010631","BP","GO:0010631","epithelial cell migration","11/137","260/13470",6.95062737037539e-05,6.95062737037539e-05,0.0160523529441649,"Apoh/Itgb2/Alox12/Fap/Pparg/Pdgfb/Acvrl1/Sox9/Krit1/Serpinf1/Il4",11
"GO:0050798","BP","GO:0050798","activated T cell proliferation","5/137","43/13470",7.13758673094019e-05,7.13758673094019e-05,0.0160523529441649,"Itgb2/Btn1a1/Icosl/Il12rb1/Il4",5
"GO:0090132","BP","GO:0090132","epithelium migration","11/137","261/13470",7.19424243138908e-05,7.19424243138908e-05,0.0160523529441649,"Apoh/Itgb2/Alox12/Fap/Pparg/Pdgfb/Acvrl1/Sox9/Krit1/Serpinf1/Il4",11
"GO:0050678","BP","GO:0050678","regulation of epithelial cell proliferation","12/137","309/13470",7.37791509098265e-05,7.37791509098265e-05,0.0160523529441649,"Apoh/Cav2/Ngfr/Ccnd2/Cdh1/Pparg/Pdgfb/Acvrl1/Wdr77/Sox9/Krit1/Serpinf1",12
"GO:0090130","BP","GO:0090130","tissue migration","11/137","262/13470",7.44514685671486e-05,7.44514685671486e-05,0.0160523529441649,"Apoh/Itgb2/Alox12/Fap/Pparg/Pdgfb/Acvrl1/Sox9/Krit1/Serpinf1/Il4",11
"GO:0050673","BP","GO:0050673","epithelial cell proliferation","13/137","360/13470",7.69747994857682e-05,7.69747994857682e-05,0.0160523529441649,"Apoh/Cav2/Ngfr/Ccnd2/Cdh1/Fap/Pparg/Pdgfb/Acvrl1/Wdr77/Sox9/Krit1/Serpinf1",13
"GO:0008047","MF","GO:0008047","enzyme activator activity","6/137","71/13470",8.25817161701657e-05,8.25817161701657e-05,0.0160523529441649,"Apoh/Lck/Raf1/Pdgfb/Gm2a/Dnmt3l",6
"GO:0050865","BP","GO:0050865","regulation of cell activation","15/137","470/13470",8.64728152262383e-05,8.64728152262383e-05,0.0160523529441649,"Fer/Tspan32/Itgb2/Alox12/Lck/Pparg/Pdgfb/Adora3/Myo18a/Loxl3/Btn1a1/Icosl/Tcf7/Il12rb1/Il4",15
"GO:0010596","BP","GO:0010596","negative regulation of endothelial cell migration","5/137","47/13470",0.000110094809017011,0.000110094809017011,0.0193020021890643,"Apoh/Pparg/Acvrl1/Krit1/Serpinf1",5
"GO:0031983","CC","GO:0031983","vesicle lumen","3/137","10/13470",0.000117226757359372,0.000117226757359372,0.0194706824688862,"Ins2/Gcg/Dbh",3
"GO:0043542","BP","GO:0043542","endothelial cell migration","9/137","190/13470",0.00013879537680251,0.00013879537680251,0.0219004494554698,"Apoh/Itgb2/Alox12/Fap/Pparg/Pdgfb/Acvrl1/Krit1/Serpinf1",9
"GO:0009898","CC","GO:0009898","cytoplasmic side of plasma membrane","8/137","152/13470",0.000159996372432169,0.000159996372432169,0.0232906802011128,"Gnai3/Cav2/Fer/Gna12/Th/Cdh1/Lck/Gm2a",8
