Run,Age_months,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype/variation,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,mouse_model,Organism,Platform,ReleaseDate,sample_ID,Sample Name,source_name,SRA Study,tissue
SRR8512300,4,RNA-Seq,250,4222628250,PRJNA518104,SAMN10852627,1817765060,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315947,rTg4510,GSM3586048,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,L18,GSM3586048,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512301,8,RNA-Seq,250,4527823500,PRJNA518104,SAMN10852626,1974074571,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315948,Wild Type,GSM3586049,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,L21,GSM3586049,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512302,8,RNA-Seq,250,4614775500,PRJNA518104,SAMN10852625,1965704827,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315949,rTg4510,GSM3586050,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,L22,GSM3586050,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512303,2,RNA-Seq,250,4469700000,PRJNA518104,SAMN10852624,1908939661,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315950,Wild Type,GSM3586051,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,L23,GSM3586051,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512304,2,RNA-Seq,250,4401919000,PRJNA518104,SAMN10852623,1875972360,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315951,rTg4510,GSM3586052,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,L24,GSM3586052,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512305,6,RNA-Seq,250,5025278250,PRJNA518104,SAMN10852622,2129208967,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315952,Wild Type,GSM3586053,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,M17,GSM3586053,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512306,6,RNA-Seq,250,2958294500,PRJNA518104,SAMN10852621,1297767315,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315953,rTg4510,GSM3586054,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,M18,GSM3586054,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512307,8,RNA-Seq,250,3052528250,PRJNA518104,SAMN10852620,1298012745,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315954,Wild Type,GSM3586055,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,M19,GSM3586055,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512308,8,RNA-Seq,250,4674701750,PRJNA518104,SAMN10852675,2010281939,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315955,rTg4510,GSM3586056,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,M20,GSM3586056,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512309,2,RNA-Seq,250,6394263250,PRJNA518104,SAMN10852674,2777190636,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315956,Wild Type,GSM3586057,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,M21,GSM3586057,Entorhinal cortex,SRP183070,Entorhinal cortex
