Sample,Model,Genotype ,Age
SRR8512301,rtg4510,WT,8
SRR8512302,rtg4510,rtg4510,8
SRR8512303,rtg4510,WT,2
SRR8512304,rtg4510,rtg4510,2
SRR8512307,rtg4510,WT,8
SRR8512308,rtg4510,rtg4510,8
SRR8512309,rtg4510,WT,2
SRR8512310,rtg4510,rtg4510,2
SRR8512313,rtg4510,rtg4510,2
SRR8512318,rtg4510,WT,8
SRR8512319,rtg4510,rtg4510,8
SRR8512324,rtg4510,WT,8
SRR8512325,rtg4510,WT,2
SRR8512326,rtg4510,rtg4510,2
SRR8512329,rtg4510,WT,8
SRR8512330,rtg4510,rtg4510,8
SRR8512331,rtg4510,WT,2
SRR8512332,rtg4510,rtg4510,2
SRR8512335,rtg4510,WT,2
SRR8512336,rtg4510,rtg4510,2
SRR8512341,rtg4510,WT,8
SRR8512342,rtg4510,rtg4510,8
SRR8512347,rtg4510,WT,8
SRR8512348,rtg4510,rtg4510,8
SRR8512349,rtg4510,WT,2
SRR8512350,rtg4510,rtg4510,2
SRR8512351,J20,WT,6
SRR8512352,J20,WT,6
SRR8512353,J20,J20,6
SRR8512354,J20,J20,6
SRR8512363,J20,WT,12
SRR8512364,J20,WT,12
SRR8512365,J20,J20,12
SRR8512366,J20,J20,12
SRR8512371,J20,WT,12
SRR8512372,J20,WT,12
SRR8512373,J20,J20,12
SRR8512374,J20,J20,12
SRR8512375,J20,WT,6
SRR8512376,J20,J20,6
SRR8512379,J20,WT,12
SRR8512380,J20,J20,12
SRR8512381,J20,WT,6
SRR8512382,J20,J20,6
SRR8512384,J20,WT,12
SRR8512385,J20,J20,12
SRR8512386,J20,WT,6
SRR8512387,J20,J20,6
SRR8512389,J20,WT,6
SRR8512390,J20,J20,6
SRR8512399,J20,WT,12
SRR8512400,J20,J20,12
SRR8512401,J20,WT,6
SRR8512402,J20,J20,6
SRR8512405,J20,WT,12
SRR8512406,J20,J20,12
SRR8512407,J20,WT,6
SRR8512408,J20,J20,6
SRR8512411,J20,WT,12
SRR8512412,J20,J20,12
SRR8512426,J20,WT,12
SRR8512427,J20,WT,12
SRR8512428,J20,J20,12
SRR8512429,J20,J20,12
SRR8512430,J20,WT,6
SRR8512431,J20,WT,6
SRR8512432,J20,J20,6
SRR8512433,J20,J20,6
SRR8512434,rtg4510,WT,2
SRR8512435,rtg4510,rtg4510,2
SRR8512439,rtg4510,WT,8
SRR8512440,rtg4510,rtg4510,8
