,Name,ID,pSize,NDE,pNDE,tA,pPERT,pG,pGFdr,pGFWER,Status,KEGGLINK
1,Basal cell carcinoma,5217,48,3,0.000304143,3.52775823,0.193,0.000630615,0.019118587,0.034683823,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu05217+216795+22415+12006
2,Wnt signaling pathway,4310,124,4,0.000359673,1.17591941,0.263,0.000971095,0.019118587,0.053410215,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04310+12444+12006+216795+22415
3,Melanogenesis,4916,78,3,0.001263824,7.415698994,0.081,0.001042832,0.019118587,0.057355762,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04916+14679+216795+22415
4,Cocaine addiction,5030,40,2,0.005367704,-1.322925094,0.1,0.004578619,0.050684478,0.251824064,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu05030+21823+14679
5,Aldosterone-regulated sodium reabsorption,4960,33,2,0.003677766,0.89256686,0.147,0.00460768,0.050684478,0.253422391,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04960+20278+16334
6,Leukocyte transendothelial migration,4670,94,1,0.22846688,6.855691821,0.009,0.014777707,0.129129421,0.812773869,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04670+14679
7,Progesterone-mediated oocyte maturation,4914,75,2,0.017979216,-1.025402807,0.153,0.01896926,0.129129421,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04914+16334+14679
8,HTLV-I infection,5166,223,3,0.023058279,2.049994476,0.13,0.020413348,0.129129421,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu05166+12444+216795+22415
9,Parkinson's disease,5012,107,3,0.003121406,0,1,0.021130269,0.129129421,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu05012+66925+12858+21823
10,GABAergic synapse,4727,74,1,0.184574089,-1.157559457,0.021,0.025399551,0.133796618,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04727+14679
11,Regulation of actin cytoskeleton,4810,176,3,0.012334755,-1.348801876,0.387,0.030286576,0.133796618,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04810+14673+64654+16334
12,Long-term depression,4730,54,2,0.009612582,0.739126643,0.514,0.031177932,0.133796618,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04730+14673+14679
13,Toxoplasmosis,5145,103,1,0.247459337,2.645850188,0.023,0.035109954,0.133796618,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu05145+14679
14,Focal adhesion,4510,178,2,0.085655811,3.494768152,0.067,0.035354626,0.133796618,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04510+12390+12444
15,Gastric acid secretion,4971,57,1,0.14536007,-1.322925094,0.041,0.036489987,0.133796618,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04971+14679
16,Transcriptional misregulation in cancer,5202,139,3,0.006484403,0,1,0.03915513,0.134595759,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu05202+209446+12444+18053
17,Pertussis,5133,61,1,0.154748983,2.645850188,0.046,0.042319666,0.136916566,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu05133+14679
18,Hedgehog signaling pathway,4340,49,2,0.007968059,0,1,0.046472225,0.141998466,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04340+216795+22415
19,Dopaminergic synapse,4728,99,2,0.030163067,0.440975031,0.337,0.056809988,0.158116427,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu04728+14679+21823
20,Alcoholism,5034,115,2,0.039659803,1.322925094,0.276,0.060365271,0.158116427,1,Activated,http://www.genome.jp/dbget-bin/show_pathway?mmu05034+21823+14679
21,Glutamatergic synapse,4724,101,1,0.243278564,-1.202659177,0.045,0.060371727,0.158116427,1,Inhibited,http://www.genome.jp/dbget-bin/show_pathway?mmu04724+14679
