"","Name","ID","pSize","NDE","pNDE","tA","pPERT","pG","pGFdr","pGFWER","Status","KEGGLINK"
"1","Wnt signaling pathway","04310",142,130,0.000343106761550076,85.7032596275589,5e-06,3.63410816910699e-08,4.76068170153015e-06,4.76068170153015e-06,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04310+17126+17127+18018+18019+18021+54446+73181+18750+19055+19056+19057+19058+19059+56398+70261+12322+12325+18795+18796+18797+18798+14362+14365+14366+14367+14369+14370+14371+57265+22418+22419+26414+26419+26420+170758+19353+19354+19877+19878+11848+208846+76441+13542+13543+13544+106042+243548+14735+229658+93840+22411+19015+12444+12445+14283+16476+17869+13016+13017+20671+17128+16842+21414+21416+12914+56505+67087+18099+26409+93687+56438+26965+21402+103583+12234+21372+81004+12301+11789+23805+20437+20438+72293+93960+12005+12006+19052+19053+226849+26931+26932+51792+73699+12387+18747+18749+19108+19164+56637+212398+75826+13000+13001+319478+27373+56811+24117+12622+16973+16974+20319+20377+20379+54612+53627+216795+22408+22409+22410+22412+22413+22414+22415+22416+22417+22420+22421+22422+22423+93735"
"2","Chronic myeloid leukemia","05220",72,67,0.00338794697356275,92.0033227017155,5e-06,3.20052639054199e-07,2.096344785805e-05,4.19268957161001e-05,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05220+12394+14013+12048+19247+110279+11350+21803+21808+21809+15182+433759+13016+13017+17869+21813+21812+20850+20851+17128+18033+19697+18035+12576+17246+12675+16150+16151+12015+12578+12575+20662+20663+20416+20418+216148+271849+14389+12928+12929+12402+208650+80794+13555+13557+242705+19645+17127+12571+11651+11652+23797+18706+18707+18708+18709+18710+30955+320207+74769+26395+26396+109880+110157+11836+15461+16653+18176"
"3","Melanogenesis","04916",94,83,0.0395079673349394,222.239433129825,5e-06,3.24702660812347e-06,0.000141786828554725,0.000425360485664174,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04916+13542+13543+13544+13190+22178+22173+17342+18747+18749+19108+12322+12325+12313+12314+12315+14678+14679+14681+13618+16590+17311+14362+14365+14366+14367+14369+14370+14371+57265+18795+18796+18797+18798+12914+16842+21414+21416+14683+12912+12913+208647+208677+26427+78284+104110+104111+11512+11513+11514+11515+210044+224129+432530+18750+56637+12387+18976+14682+216795+22408+22409+22410+22411+22412+22413+22414+22415+22416+22417+22418+22419+22420+22421+22422+22423+93735+26395+26396+110157+15461+16653+18176+13614"
"4","Acute myeloid leukemia","05221",56,50,0.0704304490775982,68.2801076682676,5e-06,5.58485367871954e-06,0.000182903957978065,0.00073161583191226,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05221+19401+16653+18176+14255+20375+12606+12394+12395+19015+17869+18033+19697+20848+20850+20851+16480+12427+16842+21414+21416+18854+18712+15461+12675+16150+16151+12015+18715+72508+20662+20663+16590+56717+13685+11651+11652+23797+18706+18707+18708+18709+18710+30955+320207+74769+26395+26396+109880+110157+11836"
"5","Renal cell carcinoma","05211",71,62,0.106695554872211,84.5210434690524,5e-06,8.23894988647299e-06,0.000215860487025592,0.00107930243512796,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05211+19247+21803+21808+21809+14205+18654+22339+22340+22341+20525+11863+11864+12914+71745+56438+22346+112405+112407+13819+15251+21802+18590+18591+216805+14194+19353+12928+12929+107746+20662+20663+17295+14388+18479+18481+224105+241656+70584+215449+12540+23871+11651+11652+23797+18706+18707+18708+18709+18710+30955+320207+74769+16476+15234+26395+26396+109880+110157+11836+15461+16653+18176"
"6","Lysosome","04142",117,112,2.46089741338001e-06,0.604905844002522,0.554,1.97759896144484e-05,0.00043177577324879,0.00259065463949274,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04142+108664+114143+11972+11975+11984+140494+21871+242341+27060+54411+13030+13032+13033+13034+13036+13038+13039+13040+13041+19025+229445+64138+16541+19141+12751+11605+12091+14387+14466+15211+15212+110173+17159+17939+110006+18010+14420+27419+15932+71665+11881+11883+74008+75612+15931+27029+50917+16889+192654+56629+11432+20597+11886+11593+214505+432486+14667+19156+76943+19063+54397+12514+16783+16784+239739+12492+12512+83429+235504+114128+16792+17775+56325+11305+18173+18174+18145+67963+12752+211286+53599+72175+52120+12757+67300+74325+16004+17113+27426+108012+11764+11765+11766+11767+11768+11769+11774+11776+11777+55946+64933+106039+260302+74105+11433+108011+11781+11782+67489+15586+58911+94178"
"7","HTLV-I infection","05166",258,229,0.000437569753243181,106.997071175364,0.007,4.19510535901864e-05,0.00078508400290206,0.00549558802031442,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05166+18186+20525+21803+21808+21809+22329+21894+70549+12500+12501+12502+15894+16408+16414+18018+18019+18021+54446+73181+19055+19056+19057+19058+19059+56398+70261+12330+12317+16186+16451+16453+20850+20851+14990+14991+333715+17869+100683+81601+12444+15461+16653+17532+18176+20130+11739+11740+12257+22333+22334+22335+103573+19384+71810+104110+104111+11512+11513+11514+11515+210044+224129+432530+18747+18749+19108+11908+11909+11910+11911+12912+22433+21812+21813+17126+17127+17128+18538+18971+18972+18973+18974+59001+66979+67967+12575+17222+217232+52206+52563+56317+59008+66156+68999+69957+99152+107995+12442+30939+12236+56150+234729+21752+18033+19697+18035+16183+16184+16168+16169+16193+12981+16992+18034+19698+12675+53859+17000+21939+16150+16151+21937+16177+16178+26401+26406+26398+26414+26419+26420+16476+56310+12048+11798+18595+18596+18590+18591+18706+18707+18708+18709+18710+30955+320207+74769+11651+11652+23797+216795+22408+22409+22410+22411+22412+22413+22414+22415+22416+22417+22418+22419+22420+22421+22422+22423+93735+14362+14365+14366+14367+14369+14370+14371+57265+13542+13543+13544+56637+12387+11789+23805+13383+12578+12445+19645+13555+13557+242705+20807+13712+13714+20375+23871+23872+14281+13653+13654+14283+21374+18045+14960+14998+15000+15001+15002+14534+18519+12914+21423+12580+16818+18970+12028+17863+17864+17865+382056+70461+74343+17701+17703+22695+12649+50883+11920+245000+21926+60599"
"8","Regulation of actin cytoskeleton","04810",202,184,4.66195330068828e-05,69.8767609864238,0.186,0.000109738787063388,0.00176551864273149,0.0143757811053038,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04810+14061+19241+11867+434782+56378+56443+67771+74192+76709+18643+382562+75477+242687+83767+101314+11789+23805+22376+73178+226970+329165+105855+50884+20430+76884+108100+231637+237860+245857+16885+16886+20259+227753+22330+108083+117150+18711+18717+18718+18719+18720+13367+54004+109711+11472+11474+17698+19684+22350+19303+20544+17931+19046+19047+17906+17907+67268+67938+107589+213435+238564+216963+13800+56419+19877+19878+18479+18481+224105+241656+70584+54126+73341+12540+170758+19353+19354+11848+16801+29875+404710+544963+21844+22324+22325+24001+57257+26395+26396+109880+110157+11836+18706+18707+18708+18709+18710+30955+320207+74769+14163+30938+14701+12928+12929+12927+14083+12061+12062+12669+12671+12672+243764+20779+104099+109700+16398+16399+16400+16401+16402+16403+16404+16407+16408+16409+16410+16411+16412+16414+16416+16419+16420+16421+192897+241226+319480+320910+14268+15461+16653+17532+18176+20130+14673+14674+20662+20663+13649+14182+14183+14186+18595+18596+23920+13645+14164+14165+14167+14168+14169+14170+14171+14173+14174+14176+14178+14180+18590+18591+54635+56636+64654+67112+71785+80857+80903+16334+12475+14062+11461+17886+71960+77579"
"9","Neuroactive ligand-receptor interaction","04080",243,213,0.0032224872146901,-11.3294293588475,0.003,0.000121295173928118,0.00176551864273149,0.0158896677845834,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04080+14061+14938+67373+207911+12640+22094+21338+21337+114229+17200+19109+19116+21834+14599+14815+12257+193034+110304+14654+14658+237213+110637+14799+14800+14802+14803+14805+14807+14809+14810+14812+14813+14814+170483+242443+53623+18436+18438+18439+18440+228139+231602+94045+14394+14396+14397+14399+14400+14401+14402+14403+14404+14405+14406+14408+14409+57249+226278+226304+239845+242425+54393+108068+108069+108071+14816+14823+22354+22355+319229+11517+19228+213527+14652+93896+14527+381853+12921+12922+12311+58861+70086+381489+16995+57260+13609+13611+14739+94226+14745+53978+65086+78134+170732+22045+12801+140795+18441+18442+233571+57385+64095+67168+74191+78826+11539+11540+11541+11542+21390+19222+19220+19216+19217+19218+19219+22095+16867+14767+216749+217369+104443+237362+230777+387285+14062+14063+14064+14065+93742+14427+14428+18430+12000+26361+54140+21336+20605+20606+20607+20608+20609+18386+18387+18389+18390+18216+18217+14608+18166+18167+18168+19065+17201+17202+17203+208188+13617+13618+12426+23796+14289+14293+12273+12267+12061+12062+12209+14829+18101+11607+15550+15551+15557+15559+15560+15562+15563+15564+15565+15566+15466+99296+13488+13489+13490+13491+13492+11548+11549+11550+11551+11553+11554+11555+11556+12669+12671+12672+243764+108015+108043+110834+110835+110902+11435+11438+11440+11441+11443+11444+11448+231252"
"10","Amoebiasis","05146",96,89,0.00101792455175577,-24.2895123414613,0.032,0.000369124161061489,0.00483552650990551,0.0483552650990551,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05146+16176+14268+16772+16773+16774+16775+16776+16777+16780+16782+226519+23928+18033+19697+16193+12367+12981+16177+16178+21926+18126+21898+24088+16159+16160+19344+19345+226421+271457+15507+12479+12475+18706+18707+18708+18709+18710+30955+320207+74769+16409+16414+11846+11847+110382+230558+69379+14680+14683+14672+14675+14676+14682+18750+432530+18795+18796+18797+18798+18747+18749+19108+21803+21808+21809+12814+12815+12824+12825+12826+12827+12830+12831+12832+12842+12843+53867+94216+22330+109711+11472+11474+14083+20706+20708+20723+282663+66222+97848"
