"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072594","BP","GO:0072594","establishment of protein localization to organelle","124/3047","368/15222",3.3625029248253e-10,3.3625029248253e-10,2.21748219200321e-06,"Cdh1/Hk2/Oxa1l/Calm1/Cct3/Kpnb1/Jup/Akt1/Smo/Fbxo7/Folr1/Nup214/Bcap31/Bbc3/Ipo4/Tsc2/Tgfb1/Shh/Prkd1/Cse1l/Pex6/Cd36/Timm44/Tomm40/Ranbp2/Pih1d1/Timm50/Pex19/Rnf215/Kpna6/Man1a/Ruvbl2/Bax/Stat3/Phb2/Bid/Rab23/Rab11a/Sgta/Pex5/4930550C14Rik/Trim28/Tomm40l/Pex1/Tpr/Snf8/Tek/Tmco6/Hspa1l/M6pr/Cct4/Nutf2/Rala/Pttg1ip/Tnpo1/Srp14/Dmap1/Hyal2/Tnpo3/Timm23/Chp1/Pam16/Tsg101/Srp19/Nol3/Nolc1/Hspa8/Sqstm1/Macroh2a1/E2f3/Lamp2/Nup50/Pom121l2/Brca1/Med1/Tomm34/Kpna2/Mapt/Akap1/Rpain/Pex12/Cd68/Fis1/Cacng2/Calm3/Ap4m1/Sec63/Pex3/Traf3ip2/Tnfaip3/Cdk1/Psen1/Pex7/Macroh2a2/Ap3d1/Timm13/Vps13d/Appl2/Ppp2ca/Hspa4/Eif4enif1/Xbp1/Srebf1/Rab10/Nf1/Ddx5/Cacng4/Nup85/Gga3/Srp68/Timm22/Nfkbia/Akap5/Tomm20l/Timm9/Hsp90aa1/Ryr2/Gli3/Nup153/Syk/Drd1/Tert/Ap3b1/Zfyve16",124
"GO:0010632","BP","GO:0010632","regulation of epithelial cell migration","79/3047","224/15222",6.12887654342957e-08,6.12887654342957e-08,0.000103313148032877,"Apoh/Alox12/Pparg/Pdgfb/Acvrl1/Sox9/Krit1/Serpinf1/Il4/Sp1/Itga3/Jup/Marveld3/Akt1/Rin2/Rac1/Tgfb1/Shh/Prkd1/Apoe/Klf4/Calr/Stat5a/Gab2/Coro1c/Aqp1/Hdac9/Rab11a/Hspb1/Hmox1/Mef2c/Tek/Epha2/Rhoa/Emc10/Fut1/Rab25/Hdac5/Met/Hyal1/Prox1/Amotl1/Pten/Stc1/Gata2/Sash1/Ager/Itga2/Gata3/Nfe2l2/Stard13/Plcg1/Cd40/Mmp9/Pfn1/Adora2b/Sparc/Map2k3/Akt3/Nr2e1/Dcn/Igf1/Sirt1/Ptprr/Flt4/Patz1/Rtn4/Pik3cg/Rock2/Itgb3/Map3k3/Nf1/Hif1a/Lgmn/Vash1/Evl/Gpld1/Pdcd6/Plk2",79
"GO:0010594","BP","GO:0010594","regulation of endothelial cell migration","62/3047","163/15222",7.24572360431719e-08,7.24572360431719e-08,0.000103313148032877,"Apoh/Alox12/Pparg/Pdgfb/Acvrl1/Krit1/Serpinf1/Sp1/Jup/Akt1/Rin2/Rac1/Tgfb1/Shh/Prkd1/Apoe/Klf4/Calr/Stat5a/Hdac9/Hspb1/Hmox1/Mef2c/Tek/Epha2/Rhoa/Emc10/Fut1/Hdac5/Met/Prox1/Amotl1/Stc1/Gata2/Sash1/Ager/Gata3/Nfe2l2/Stard13/Plcg1/Cd40/Adora2b/Sparc/Map2k3/Akt3/Nr2e1/Dcn/Igf1/Sirt1/Flt4/Patz1/Pik3cg/Rock2/Itgb3/Map3k3/Nf1/Hif1a/Lgmn/Vash1/Gpld1/Pdcd6/Plk2",62
"GO:0017038","BP","GO:0017038","protein import","73/3047","203/15222",7.86280285862231e-08,7.86280285862231e-08,0.000103313148032877,"Cdh1/Kpnb1/Jup/Akt1/Smo/Nup214/Ipo4/Tsc2/Tgfb1/Shh/Prkd1/Cse1l/Pex6/Cd36/Timm44/Tomm40/Apoe/Ranbp2/Timm50/Pex19/Kpna6/Stat3/Phb2/Rab23/Pex5/Trim28/Tomm40l/Pex1/Tpr/Tek/Tmco6/Nutf2/Pttg1ip/Tnpo1/Dmap1/Hyal2/Tnpo3/Timm23/Chp1/Pam16/Nolc1/Hspa8/Sqstm1/E2f3/Nup50/Pom121l2/Brca1/Med1/Kpna2/Akap1/Rpain/Pex12/Pex3/Traf3ip2/Cdk1/Psen1/Pex7/Appl2/Ppp2ca/Hspa4/Eif4enif1/Xbp1/Nf1/Ddx5/Nup85/Nfkbia/Akap5/Tomm20l/Hsp90aa1/Gli3/Nup153/Syk/Drd1",73
"GO:0048732","BP","GO:0048732","gland development","123/3047","396/15222",8.85836716787825e-08,8.85836716787825e-08,0.000103313148032877,"Tbx2/Cdh1/Raf1/Pdgfb/Wdr77/Sox9/Aire/Serpinf1/Lsr/Hpn/Sp1/Rarg/Nkx2-1/Foxm1/Smo/Vwf/Foxn1/Stat6/Braf/Tgfb1/Shh/Cdkn1b/Elf3/Stk11/Edar/Plag1/Prkcsh/Ddr1/Rps6ka1/Bax/Stat5a/Psap/Phb2/Cul3/Tyr/Pax3/Map2k1/Cd44/Prdx2/Prlr/Hmox1/Igf1r/Insr/Gata6/Apc/Ephb3/Crkl/Neurl1a/Epha2/Atp7b/Aprt/Sulf2/Sod2/Ezh1/Ctnnb1/Tgfbr1/Cav1/Nfib/Bmp7/Tbx1/Met/Elk1/Mrtfb/Wnt3a/Prox1/Psen2/Etv5/Pten/Csf1/Gata2/Aldh1a3/Notch4/Srf/Gata3/Lama5/Rxra/Wt1/Sulf1/Cacnb4/Ada/Etv4/Med1/Tbx3/Crhr1/Ikzf1/Cdk5rap3/Ahr/Esr1/Sec63/Tnfaip3/Lims1/Arid5b/Psen1/Myb/Ntn4/Socs2/Ascl1/Igf1/Egfr/Frs2/Cobl/E2f7/Rtn4/Xbp1/Id2/Ccl11/Hnf1b/Nf1/Slc9a3r1/Ctc1/Ntn1/Stat5b/Esr2/Hif1a/Tgfb3/Gli3/Prl/Edn1/Id4/Ptch1/Slc6a3/Ptcd2/Otp",123
"GO:0006575","BP","GO:0006575","cellular modified amino acid metabolic process","62/3047","164/15222",9.3996000604533e-08,9.3996000604533e-08,0.000103313148032877,"Pemt/Ckmt1/Slc5a5/Txnrd3/Hpn/Ckb/Gstt1/Gstt3/Folh1/Folr1/Gnmt/Crot/Gstm5/Gstm7/Gstm3/Lpcat3/Plod3/Slc1a2/Mthfd2/Ctns/Ggt5/Ggt1/Sod2/Abhd16a/Clic1/Dio2/Cpt1c/Mgst1/Gstt4/Fpgs/Sardh/Clic3/Gata3/Nfe2l2/Chdh/Pipox/Serinc3/Gdap1l1/Med1/Gpx3/Slc22a5/Dpep1/Iyd/Pcmt1/Slc16a10/Serinc1/Vnn3/Gamt/Aldh1l2/Chac2/Slc22a4/Shmt1/Mboat2/Tpo/Gstz1/Mthfd1/Mtr/Ctsl/Ptdss1/Ckmt2/Serinc5/Dhfr",62
"GO:0001667","BP","GO:0001667","ameboidal-type cell migration","127/3047","414/15222",1.19999465705162e-07,1.19999465705162e-07,0.000113052128216968,"Apoh/Fer/Gna12/Itgb2/Alox12/Fap/Pparg/Pdgfb/Acvrl1/Acvr1b/Sox9/Krit1/Sema4f/Serpinf1/Il4/Timp1/Sema6b/Sp1/Itgb7/Efnb2/Itga3/Jup/Marveld3/Akt1/Smo/Rin2/Folr1/Rac1/Paxip1/Ppard/Braf/Tsc2/Tgfb1/Shh/Prkd1/Apoe/Klf4/Has1/Calr/Stat5a/Gab2/Coro1c/Pkn2/Aqp1/Hdac9/Rab11a/Pax3/Hspb1/Hmox1/Mef2c/Kit/Tek/Epha2/Cdc42/Tgfbr1/Rhoa/Emc10/Fut1/Rab25/Hdac5/Bmp7/Tbx1/Met/Hyal2/Hyal1/Prox1/Amotl1/Pten/Stc1/Gata2/Sash1/Ager/Itga2/Srf/Gata3/Lama5/Nfe2l2/Wnt11/Stard13/Plcg1/Sdc4/Cd40/Mmp9/Pmp22/Pfn1/Anxa6/Smurf2/C1qbp/Adora2b/Cenpv/Sparc/Map2k3/Gipc1/Sema6a/Akt3/Nr2e1/Dcn/Arid5b/Kitl/Igf1/Sirt1/Sgpl1/Ptprr/Appl2/Wdpcp/Flt4/Patz1/Rtn4/Pik3cg/Rock2/Itgb3/Rffl/Map3k3/Nf1/Pecam1/Pafah1b1/Itgb4/Cygb/Hif1a/Lgmn/Vash1/Evl/Gpld1/Edn1/Sema4d/Pdcd6/Plk2",127
"GO:0061458","BP","GO:0061458","reproductive system development","123/3047","400/15222",1.6378278472861e-07,1.6378278472861e-07,0.000135013045569045,"Cdh1/Pparg/Pdgfb/Wdr77/Sox9/Dnmt3l/Serpinf1/Tcf7/Sp1/Rarg/Nkx2-1/Dlx3/Klhl10/Akt1/Rtcb/Rac1/Vwf/Ppard/Rec8/Axl/Shh/Cdkn1b/Stk11/Eif2b5/Plag1/Ercc1/Bax/Stat5a/Psap/Atn1/Ptpn6/Eif2b2/Map2k1/Zp3/Cd44/Prlr/Msh4/Igf1r/Insr/Trim28/Kit/Apc/Spo11/Crkl/Htra1/Epor/Kmt2b/Tcf23/Ctnnb1/Tgfbr1/Bcl2l1/Arid1a/Adam21/Bmp7/Ascl2/Met/Tex15/Tex11/Plcd1/Phlda2/Wnt2/Nanog/Retn/Pten/Dedd/Mertk/Map3k4/Tppp3/Gata2/Arnt/Gata3/Gnrh1/Rxra/Wt1/H3f3b/Bik/Sulf1/Ada/Med1/Stk4/Gdf9/Wnt9b/Tbx3/Lhx1/Slc22a5/Arrb1/Csf2/Lhx9/Ahr/Ubb/Esr1/Hey2/Rspo3/Arid5b/Kitl/Map7/Igf1/Sirt1/Sgpl1/Egfr/Frs2/E2f7/Nefh/Patz1/Ggnbp2/Myocd/Ncoa1/Hnf1b/Llgl2/Krt19/Stat5b/Plcd3/Esr2/Hif1a/Zfp36l1/Esrrb/Vash1/Id4/Ror2/Ctsl/Hnrnpk/Rhobtb3/Ndufs6",123
"GO:0048608","BP","GO:0048608","reproductive structure development","122/3047","397/15222",1.90906778466895e-07,1.90906778466895e-07,0.00013988666281814,"Cdh1/Pparg/Pdgfb/Wdr77/Sox9/Dnmt3l/Serpinf1/Tcf7/Sp1/Rarg/Nkx2-1/Dlx3/Klhl10/Akt1/Rtcb/Rac1/Vwf/Ppard/Rec8/Axl/Shh/Cdkn1b/Stk11/Eif2b5/Plag1/Ercc1/Bax/Stat5a/Psap/Atn1/Ptpn6/Eif2b2/Map2k1/Zp3/Cd44/Prlr/Msh4/Igf1r/Insr/Trim28/Kit/Apc/Spo11/Crkl/Htra1/Epor/Kmt2b/Tcf23/Ctnnb1/Tgfbr1/Bcl2l1/Arid1a/Adam21/Bmp7/Ascl2/Met/Tex15/Tex11/Plcd1/Phlda2/Wnt2/Nanog/Retn/Pten/Dedd/Mertk/Map3k4/Tppp3/Gata2/Arnt/Gata3/Gnrh1/Rxra/Wt1/H3f3b/Bik/Sulf1/Ada/Med1/Stk4/Gdf9/Wnt9b/Tbx3/Lhx1/Slc22a5/Arrb1/Csf2/Lhx9/Ahr/Ubb/Esr1/Hey2/Rspo3/Arid5b/Kitl/Map7/Igf1/Sirt1/Sgpl1/Egfr/Frs2/E2f7/Nefh/Patz1/Ggnbp2/Myocd/Ncoa1/Hnf1b/Llgl2/Krt19/Stat5b/Plcd3/Esr2/Hif1a/Zfp36l1/Esrrb/Vash1/Id4/Ror2/Ctsl/Hnrnpk/Rhobtb3",122
"GO:0033002","BP","GO:0033002","muscle cell proliferation","79/3047","230/15222",2.18046955883146e-07,2.18046955883146e-07,0.000143796229327149,"Gnai3/Tbx2/Gna12/Alox12/Pparg/Pdgfb/Cnn1/Mef2d/Akr1b3/Akt1/Ppard/Tgfb1/Shh/Apoe/Cdkn1b/Klf4/Foxj2/Stat3/Dnmt1/Il12b/Ndrg2/Ccn4/Hmox1/Igf1r/Mef2c/Gata6/Apc/Cyba/Sod2/Ctnnb1/Tgfbr1/Cav1/Rhoa/Wnt2/Vipr2/Retn/Pten/Nol3/Ace2/Ager/Itga2/Rxra/Mmp9/Tbx5/Ddx39b/Esr1/Vip/Hdac2/Hey2/Tnfaip3/Cdk1/Igf1/Sirt1/Meis1/Frs2/Mdm2/Igfbp3/Rps6kb1/Myocd/Nampt/Gna13/Prkar1a/Id2/Itgb3/Ern1/Stat5b/Esr2/Sav1/Mnat1/Hif1a/Tgfb3/Edn1/Ogn/Ripk1/Cdk20/Naa35/Tert/Hmgcr/Pde4d",79
